Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,License Plate,Vehicle Make/Model,Vehicle Color,Current Activity,Most Recent Action,How Many Days Has the Vehicle Been Reported as Parked?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location,year
10/06/2017,Completed,10/26/2017,17-06702867,Abandoned Vehicle Complaint,NA,NA,NA,NA,NA,NA,5560 N BESSIE COLEMAN DR,60666,1105967.38056815,1935610.73558318,41,16,76,NA,41.98002689628,-87.88580519306,"(-87.885805193064, 41.98002689628035)",2017
10/27/2017,Completed,11/29/2017,17-07235458,Abandoned Vehicle Complaint,RAYLO,Chevrolet,Black,Place 7 Day Sticker,Inspected and 7 day sticker applied to vehicle,15,4800 S CALUMET AVE,60615,1179243.01870063,1873268.47982915,3,2,38,NA,41.80744461308,-87.61825106379,"(-87.61825106379393, 41.807444613079845)",2017
07/24/2017,Completed,08/28/2017,17-04870645,Abandoned Vehicle Complaint,NA,NA,NA,NA,NA,NA,1110 S KILBOURN AVE,60624,1146550.41999103,1894884.50182721,24,11,29,NA,41.86742534871,-87.73760891028,"(-87.73760891027882, 41.86742534871177)",2017
10/03/2017,Completed - Dup,10/05/2017,17-06634826,Abandoned Vehicle Complaint,N/A,Suzuki,Red,NA,NA,14,25 E DELAWARE PL,60611,1176430.55758967,1906632.78569193,2,18,8,NA,41.89905067251,-87.62709844112,"(-87.62709844112322, 41.899050672508466)",2017
10/03/2017,Completed,10/23/2017,17-06629944,Abandoned Vehicle Complaint,R236541,Toyota,Blue,FVI - Outcome,Vehicle was moved from original address requested,14,5532 N LAKEWOOD AVE,60640,1166637.51711462,1936872.22280907,48,20,77,NA,41.98272464217,-87.66267310415,"(-87.66267310415066, 41.982724642166346)",2017
08/15/2017,Completed - Dup,08/16/2017,17-05467552,Abandoned Vehicle Complaint,NONE,Toyota,Red,FVI - Outcome,Create Work Order,60,3231 N ORIOLE AVE,60634,1124857.21409868,1920590.29077563,29,16,17,NA,41.93886562435,-87.81640391103,"(-87.8164039110251, 41.93886562434502)",2017
07/14/2017,Completed,08/14/2017,17-04637747,Abandoned Vehicle Complaint,AG57047,Pontiac,Black,FVI - Outcome,Vehicle was moved from original address requested,30,9800 S MANISTEE AVE,60617,1196330.46800026,1840526.33950296,10,4,51,NA,41.71718958006,-87.5566651337,"(-87.55666513369897, 41.71718958005614)",2017
08/23/2017,Completed,09/18/2017,17-05640280,Abandoned Vehicle Complaint,Q70 5426,Acura,Black,FVI - Outcome,Vehicle was moved from original address requested,10,3409 N MENARD AVE,60634,1137100.27191719,1922120.51866598,36,16,15,NA,41.94247060337,-87.77135796249,"(-87.77135796249053, 41.94247060337297)",2017
08/03/2017,Completed,08/24/2017,17-05151699,Abandoned Vehicle Complaint,G288972,Pontiac,Red,FVI - Outcome,Vehicle was moved from original address requested,20,3506 N ODELL AVE,60634,1126469.03907338,1922429.35563027,38,16,17,NA,41.9436310819,-87.81072435862,"(-87.81072435861732, 41.943631081904954)",2017
12/13/2017,Completed - Dup,12/14/2017,17-08359677,Abandoned Vehicle Complaint,66299,Ford,Blue,NA,NA,14,5032 W WELLINGTON AVE,60641,1142304.32860114,1919478.50012493,31,25,19,NA,41.93521003848,-87.75299218563,"(-87.75299218563053, 41.935210038479845)",2017
09/18/2017,Completed,10/10/2017,17-06228596,Abandoned Vehicle Complaint,8557913,Chevrolet,White,FVI - Outcome,Vehicle was moved from original address requested,9,3507 W 75TH PL,60652,1154308.44319386,1854321.12019012,18,8,70,NA,41.75595890953,-87.71024025656,"(-87.71024025656175, 41.75595890952719)",2017
10/17/2017,Completed - Dup,10/19/2017,17-07002191,Abandoned Vehicle Complaint,2058816,Chevrolet,Green,FVI - Outcome,Create Work Order,20,3114 W BELLE PLAINE AVE,60618,1154986.24330684,1927092.00831581,33,17,16,NA,41.95585754245,-87.70633364268,"(-87.70633364267643, 41.955857542451284)",2017
11/30/2017,Completed,12/15/2017,17-08068132,Abandoned Vehicle Complaint,NO,Chrysler,Black,FVI - Outcome,Vehicle was moved from original address requested,20,3941 S INDIANA AVE,60653,1178248.26498938,1878912.08891129,3,2,38,NA,41.82237019008,-87.62142025266,"(-87.62142025266414, 41.82237019007892)",2017
09/25/2017,Completed,10/06/2017,17-06402927,Abandoned Vehicle Complaint,B465052,Toyota,White,Place 7 Day Sticker,Inspected and 7 day sticker applied to vehicle,20,630 W 29TH ST,60616,1172440.18550197,1885674.61201855,11,9,60,NA,41.84184400821,-87.64267275293,"(-87.64267275293032, 41.84184400820668)",2017
10/27/2017,Completed,11/14/2017,17-07240067,Abandoned Vehicle Complaint,4735055,Dodge,Green,FVI - Outcome,Return to Owner - Vehicle,60,2748 N ELSTON AVE,60647,1160212.88017341,1918244.86020759,32,14,22,NA,41.93144320603,-87.68696006341,"(-87.68696006340593, 41.93144320603296)",2017
11/02/2017,Completed,12/13/2017,17-07368768,Abandoned Vehicle Complaint,NA,NA,NA,NA,NA,NA,1511 W 51ST ST,60609,1167081.95517726,1870913.44291813,16,9,61,NA,41.80123367784,-87.6628598098,"(-87.66285980980223, 41.80123367784415)",2017
07/19/2017,Completed,08/22/2017,17-04768335,Abandoned Vehicle Complaint,W558002,Dodge,Blue,Place 7 Day Sticker,Inspected and 7 day sticker applied to vehicle,20,3738 W 60TH ST,60629,1152480.00141592,1864562.56289015,23,8,65,NA,41.78431536126,-87.71712645819,"(-87.71712645818633, 41.7843153612594)",2017
09/28/2017,Completed,11/27/2017,17-06503108,Abandoned Vehicle Complaint,SL1P9S,Jeep/Cherokee,White,NA,NA,16,4643 W WRIGHTWOOD AVE,60639,1144919.91899313,1917082.84002005,31,25,19,NA,41.92812352016,-87.74353122279,"(-87.7435312227894, 41.928123520164434)",2017
07/27/2017,Completed,08/18/2017,17-04965202,Abandoned Vehicle Complaint,Q66 4482,Toyota,Gray,FVI - Outcome,Vehicle was moved from original address requested,8,11020 S LAWNDALE AVE,60655,1153641.94677332,1831270.65471098,19,22,74,NA,41.69254181483,-87.71324457885,"(-87.71324457884621, 41.69254181483252)",2017
11/13/2017,Completed,12/04/2017,17-07668113,Abandoned Vehicle Complaint,7188113,(Unlisted Make),Silver,FVI - Outcome,Vehicle was moved from original address requested,1,602 N LEAMINGTON AVE,60644,1141921.07543187,1903530.66639425,37,15,25,NA,41.89145647873,-87.75439724016,"(-87.75439724015871, 41.89145647873424)",2017
07/21/2017,Completed,08/11/2017,17-04821529,Abandoned Vehicle Complaint,NA,NA,NA,FVI - Outcome,Vehicle was moved from original address requested,NA,1211 W 33RD ST,60608,1168783.83641506,1882936.07982727,11,9,60,NA,41.83416554614,-87.65653259683,"(-87.65653259683164, 41.83416554613811)",2017
08/23/2017,Completed - Dup,08/25/2017,17-05644829,Abandoned Vehicle Complaint,34794TX,Ford,Multi-Color,NA,NA,11,5040 S LAPORTE AVE,60638,1144211.20537054,1870751.99492297,22,8,56,NA,41.80087147821,-87.74679070042,"(-87.746790700422, 41.80087147820927)",2017
